CodProd,Descrip,CodInst,Activo,Descrip2,Precio_1
300628,Salsa De Queso Cheddar 3 kg,Cremas y Natillas,Y,CREMAS,4.48
3099,Bombonera 8U caracol 110grs St.Moritz,Chocolates y Golosinas,Y,CHOCOLATE,1.72
3102,Bombonera 8U Corazon 85grs St. Moritz,Chocolates y Golosinas,Y,CHOCOLATE,1.72
3103,Bombonera 8 Und Trebol 85 gr. St. Moritz,Chocolates y Golosinas,Y,Bombones Trebol,2.0
3120,Flaquito Nevado estuche 4und x 30gr,Chocolates y Golosinas,Y,CHOCOLATE,1.3
3125,Chocolate S/A leche 100gr x 6 und,Chocolates y Golosinas,Y,CHOCOLATE,9.75
3127,Chocolate S/A Bitter 100gr x 6und,Chocolates y Golosinas,Y,CHOCOLATE,9.75
3131,Bombonera 8U Rosas 85 Grs St. MoritZ,Chocolates y Golosinas,Y,CHOCOLATE,1.72
3132,Bombonera 8 Truffas 170gr St. Moritz,Chocolates y Golosinas,Y,CHOCOLATE,1.72
3133,Bombonera 8U Cherry 105Gr St. Moritz,Chocolates y Golosinas,Y,CHOCOLATE,1.72
3134,Bombonera 8U regalitos St. Moritz,Chocolates y Golosinas,Y,BOMBONES,1.72
3137,Choco Zoo Navidad Blanco Estuche 6x15Gr,Chocolates y Golosinas,Y,CHOCOLATE,1.47
3157,Choco Zoo leche disp24 X 15g St. Moritz,Chocolates y Golosinas,Y,Choco Zoo leche 24 X 15grs,4.6
3158,Choco Zoo Blanc disp 24x15grs St. Moritz,Chocolates y Golosinas,Y,Choco Zoo Blanco 24 x 15grs,4.6
3167,Tiki Ticas Galletas surtidas bolsa 100gr,Galletas,Y,GALLETAS,0.92
3168,Palmeritas 200gr Rogal,Galletas,Y,GALLETAS,2.35
3169,Galleton Relleno Guayaba 480gr Rogal,Galletas,Y,GALLETA,3.37
3170,Nachos Original 150gr Mariachi,Galletas,Y,NACHOS,0.86
3171,Nachos Cheddar Picante 150gr Mariachi,Galletas,Y,NACHOS,0.99
3172,Nachos Cheddar 150gr Mariachi,Galletas,Y,NACHOS,0.99
3183,Stadium display 15U X 25gr St. Moritz,Chocolates y Golosinas,Y,Stadium15 x 25gr,3.25
3189,Astrolates 12x30gr St. Moritz,Chocolates y Golosinas,Y,astrolates 12 x 30 gr,4.02
3192,Grageado de Cafe Bitter 12x40Gr,Chocolates y Golosinas,Y,CHOCOLATE,6.54
3193,Grageado frutos mixtos 12X40gr ST.Moritz,Chocolates y Golosinas,Y,Grageao frutos mixtos 12 x 40grs,5.8
3194,Grageado pasas leche 12Ux40gr St.Moritz,Chocolates y Golosinas,Y,CHOCOLATES,6.54
3195,Grageado Mani Leche 12Ux 40gr St. Moritz,Chocolates y Golosinas,Y,CHOCOLATES,7.26
3196,Grageado Naranja Bitter12Ux40g St.Moritz,Chocolates y Golosinas,Y,CHOCOLATES,6.54
3200,Chocolate 72.5% cacao 100grs St.Moritz,Chocolates y Golosinas,Y,Chocolate 72.5% Cacao 100grs,1.04
3200030010,Queso pasteurizado ORO,Quesos Frescos,Y,PASTEURIZADO,5.06
3207,Barki Late Estuche 10U X 15gr St. Moritz,Chocolates y Golosinas,Y,CHOCOLATE,1.45
3213,Stadium Display Blanco 15u x 25gr,Chocolates y Golosinas,Y,CHOCOLATE,3.25
3224,Barki Late Blanco Estuche 180gr St Morit,Chocolates y Golosinas,Y,CHOCOLATE,1.45
3230070010,QUESO AMARILLO ORO,Quesos Amarillos,Y,AMARILLO,7.25
3235,Vittale LechePolvo completa disp 30ux30g,Leche en polvo,Y,LECHE EN POLVO,7.99
3250,Gotas de Chocolate Blanco 5KG St Moritz,Chocolates y Golosinas,Y,CHOCOLATE,48.75
3251,Gotas de Cobertura Bitter 5Kg,Chocolates y Golosinas,Y,CHOCOLATE,30.19
3262,Vittale Leche descremada Display 30*30g,Leche en polvo,Y,LECHE EN POLVO,7.9
3290010010,Requeson Del Pais Paisa (e),Quesos Frescos,Y,FRESCO,1.93
3290030080,Ricotta Industrial 4KG PAISA (e),Industriales,Y,FRESCO,16.38
3300020014,Mantequilla SIN SAL 200 GR PAISA (e),Cremas y Natillas,Y,MANTRQUILLA,2.32
3300020015,Mantequilla C/SAL 200 GR PAISA (e),Cremas y Natillas,Y,MANTEQUILLA,2.4
3350010010,Crema Tachira 500gr PAISA,Cremas y Natillas,Y,CREMAS,2.59
3350010015,Crema Tachira 250 gr PAISA,Cremas y Natillas,Y,CREMAS,1.43
3350030010,Q. Crema PAISA 200gr,Cremas y Natillas,Y,CREMA,1.82
3350060015,Nata de Aqui 250 grs Paisa,Cremas y Natillas,Y,Nata de Aqui 250grs,0.91
3350071010,Cremichiz Cheddar 200gr Paisa,Cremas y Natillas,Y,CREMAS,2.0
3500010010,Arequipe 500gr unidad PAISA,Cremas y Natillas,Y,AREQUIPE,3.64
3500010015,Arequipe 250gr PAISA,Cremas y Natillas,Y,AREQUIPE,1.93
3500010017,Arequipe paisa 1kg x 4 und,Industriales,Y,INDUSTRIAL,6.21
